sector,funding_usd,employees,stage
EdTech,2423717,406,Series B
EdTech,6859310,147,Series A
Fintech,4217493,202,Series B
SaaS,2381664,25,Pre-seed
Fintech,4663494,244,Series A
HealthTech,5437149,349,Pre-seed
E-commerce,249274,167,Seed
E-commerce,1911610,298,Series B
Fintech,8133282,327,Seed
Fintech,7609511,335,Seed
E-commerce,3865788,184,Series B
Fintech,4482041,451,Seed
Fintech,3443385,452,Series B
SaaS,8751331,274,Pre-seed
SaaS,982850,315,Series B
EdTech,5925833,25,Pre-seed
Fintech,9684182,45,Series B
Fintech,169657,323,Series B
SaaS,3813952,389,Series A
E-commerce,5123645,237,Seed
SaaS,3754490,241,Series B
HealthTech,7784459,466,Series A
E-commerce,4459418,67,Series B
Fintech,3933471,372,Pre-seed
EdTech,7355036,67,Series A
Fintech,4650966,65,Series A
SaaS,3708232,489,Series A
SaaS,4027925,355,Pre-seed
E-commerce,7922118,312,Seed
Fintech,339484,385,Pre-seed
E-commerce,3914570,7,Seed
E-commerce,9683983,468,Series A
E-commerce,2442286,37,Series B
E-commerce,2410269,271,Series B
EdTech,7816879,334,Series A
E-commerce,5816643,422,Pre-seed
EdTech,9440351,91,Seed
HealthTech,7835562,313,Seed
Fintech,9367078,70,Seed
HealthTech,1918638,198,Series A
Fintech,2156832,472,Series A
HealthTech,4557323,17,Pre-seed
SaaS,8481595,221,Series A
EdTech,9558239,500,Series A
HealthTech,5168501,75,Seed
Fintech,9882577,230,Seed
EdTech,116405,498,Series A
SaaS,4683957,393,Series A
HealthTech,4142752,392,Series A
HealthTech,9121362,186,Series A
